NUM_HOUSES,NUM_TESTS,AVG
10,10000,10.021
11,10000,10.5794
12,10000,11.1522
13,10000,11.7286
14,10000,12.2646
15,10000,12.7664
16,10000,13.227
17,10000,13.7022
18,10000,14.1796
19,10000,14.6348
20,10000,15.1064
21,10000,15.55
22,10000,16.0096
23,10000,16.3736
24,10000,16.8294
25,10000,17.2116
26,10000,17.6274
27,10000,17.9876
28,10000,18.4176
29,10000,18.8074
30,10000,19.1638
31,10000,19.5544
32,10000,19.8628
33,10000,20.2096
34,10000,20.6422
35,10000,20.9958
36,10000,21.2636
37,10000,21.6464
38,10000,21.9798
39,10000,22.3578
40,10000,22.6134
41,10000,22.9832
42,10000,23.3412
43,10000,23.5116
44,10000,23.9696
45,10000,24.1898
46,10000,24.5204
47,10000,24.7788
48,10000,25.0798
49,10000,25.4258
50,10000,25.7442
51,10000,26.081
52,10000,26.2886
53,10000,26.5408
54,10000,26.966
55,10000,27.1426
56,10000,27.5238
57,10000,27.9018
58,10000,28.025
59,10000,28.282
60,10000,28.6096
61,10000,28.9248
62,10000,29.2178
63,10000,29.4416
64,10000,29.611
65,10000,29.7966
66,10000,30.2174
67,10000,30.3902
68,10000,30.6042
69,10000,31.0108
70,10000,31.2858
71,10000,31.4348
72,10000,31.8544
73,10000,31.9486
74,10000,32.2364
75,10000,32.5132
76,10000,32.69
77,10000,33.0058
78,10000,33.2544
79,10000,33.4244
80,10000,33.699
81,10000,33.9588
82,10000,34.2472
83,10000,34.3494
84,10000,34.6726
85,10000,34.9848
86,10000,35.3096
87,10000,35.3774
88,10000,35.6686
89,10000,35.867
90,10000,36.0848
91,10000,36.3292
92,10000,36.5204
93,10000,36.7724
94,10000,36.9976
95,10000,37.219
96,10000,37.5562
97,10000,37.7354
98,10000,37.8852
99,10000,38.1192
100,10000,38.2992
110,1000,40.474
120,1000,42.772
130,1000,44.294
140,1000,46.196
150,1000,47.984
160,1000,49.946
170,1000,51.656
180,1000,53.604
190,1000,55.334
200,1000,57.106
300,1000,71.082
400,1000,83.378
500,1000,95.812
600,1000,104.284
700,1000,114.324
800,1000,122.792
900,1000,131.85
1000,1000,139.444
